"V1","V2"
"Direct-Affiliate-Display-Direct-Organic Search-End",14
"Direct-Affiliate-Display-Affiliate-Direct-End",42
"Direct-Affiliate-Display-Affiliate-Social-End",37
"Direct-Affiliate-Display-Affiliate-Display-End",32
"Direct-Affiliate-Display-Affiliate-Paid Search-End",48
"Direct-Affiliate-Display-Paid Search-Direct-End",244
"Direct-Affiliate-Display-Paid Search-Social-End",416
"Direct-Affiliate-Display-Paid Search-Display-End",147
"Direct-Affiliate-Display-Paid Search-Affiliate-End",53
"Direct-Affiliate-Display-Paid Search-Organic Search-End",54
"Direct-Affiliate-Display-Organic Search-Direct-End",52
"Direct-Affiliate-Display-Organic Search-Affiliate-End",2
"Direct-Affiliate-Display-Organic Search-Paid Search-End",128
"Direct-Affiliate-Organic Search-Display-End",8
"Direct-Affiliate-Paid Search-Direct-Social-End",590
"Direct-Affiliate-Paid Search-Direct-Display-End",73
"Direct-Affiliate-Paid Search-Direct-Affiliate-End",523
"Direct-Affiliate-Paid Search-Direct-Paid Search-End",1093
"Direct-Affiliate-Paid Search-Direct-Organic Search-End",123
"Direct-Affiliate-Paid Search-Display-Direct-End",111
"Direct-Affiliate-Paid Search-Display-Social-End",214
"Direct-Affiliate-Paid Search-Display-Affiliate-End",62
"Direct-Affiliate-Paid Search-Display-Paid Search-End",282
"Direct-Affiliate-Paid Search-Display-Organic Search-End",98
"Direct-Affiliate-Paid Search-Affiliate-Direct-End",248
"Direct-Affiliate-Paid Search-Affiliate-Social-End",326
"Direct-Affiliate-Paid Search-Affiliate-Display-End",34
"Direct-Affiliate-Paid Search-Affiliate-Paid Search-End",816
"Direct-Affiliate-Paid Search-Affiliate-Organic Search-End",36
"Direct-Affiliate-Paid Search-Organic Search-Direct-End",110
"Direct-Affiliate-Paid Search-Organic Search-Social-End",45
"Direct-Affiliate-Paid Search-Organic Search-Affiliate-End",14
"Direct-Affiliate-Paid Search-Organic Search-Paid Search-End",667
"Direct-Affiliate-Organic Search-Direct-Social-End",40
"Direct-Affiliate-Organic Search-Direct-Display-End",3
"Direct-Affiliate-Organic Search-Direct-Affiliate-End",21
"Direct-Affiliate-Organic Search-Direct-Paid Search-End",122
"Direct-Affiliate-Organic Search-Direct-Organic Search-End",22
"Direct-Affiliate-Organic Search-Display-Paid Search-End",3
"Direct-Affiliate-Organic Search-Affiliate-Direct-End",7
"Direct-Affiliate-Organic Search-Affiliate-Organic Search-End",3
"Direct-Affiliate-Organic Search-Paid Search-Direct-End",110
"Direct-Affiliate-Organic Search-Paid Search-Social-End",307
"Direct-Affiliate-Organic Search-Paid Search-Display-End",19
"Direct-Affiliate-Organic Search-Paid Search-Affiliate-End",44
"Direct-Affiliate-Organic Search-Paid Search-Organic Search-End",136
"Direct-Paid Search-Direct-Display-Direct-End",388
"Direct-Paid Search-Direct-Display-Social-End",485
"Direct-Paid Search-Direct-Display-Affiliate-End",73
"Direct-Paid Search-Direct-Display-Paid Search-End",888
